,title,final_size,ABV,IBU,OG,FG,color,views,brewed,rating,boil_size,boil_time,boil_grav,pitch_rate,temp_prim,efficiency,mash_thick,reviews,calories,carbs,mash_ph,has_prim_data,has_mash_ph,has_mash_thick,has_pitch_rate,method_AllGrain,method_BIAB,method_Extract,method_PartialMash,d_G_abs,d_G_pct,d_size_abs,d_size_pct,style_under_threshold,style_AmericanAmberAle,style_AmericanBrownAle,style_AmericanIPA,style_AmericanLightLager,style_AmericanPaleAle,style_AmericanStout,style_BlondeAle,style_CreamAle,style_ImperialIPA,style_IrishRedAle,style_Kölsch,style_OatmealStout,style_RobustPorter,style_RussianImperialStout,style_Saison,style_SpecialtyIPA:NewEnglandIPA,style_SweetStout,style_Weissbier,style_Weizen/Weissbier,style_Witbier,beer_style
2191,Heady Topper BYO Clone - Braumeister 20l,21.0,8.54,81.59,1.077,1.012,6.19,5137,3,5.0,25.0,60,1.061,1.0,19.0,75,,2,253,21,,1,0,0,1,0,1,0,0,0.06499999999999995,0.06035283194057563,4.0,0.16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ImperialIPA
2192,Firestone Union Jack clone - Braumeister 20l,21.0,7.21,64.95,1.07,1.015,6.27,1909,3,5.0,25.0,70,1.0590000000000002,1.0,19.0,75,,1,232,22,,1,0,0,1,0,1,0,0,0.05500000000000016,0.05140186915887865,4.0,0.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
2193,House Scotch Ale,20.819764812,7.61,34.78,1.078,1.021,9.83,118,3,0.0,28.39058838,60,1.058,0.35,16.666666666666668,70,1.5,0,260,28,5.73,1,1,1,1,1,0,0,0,0.05700000000000016,0.052875695732838734,7.570823568000002,0.2666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WeeHeavy
2194,Cranked up Pale Ale,22.0,5.08,29.78,1.05,1.011,4.7,628,3,0.0,28.0,60,1.0390000000000001,1.0,17.0,72,2.7,0,164,16,5.55,0,1,1,1,1,0,0,0,0.039000000000000146,0.03714285714285728,6.0,0.21428571428571427,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
2195,Svartedauden,25.0,6.97,71.51,1.068,1.015,22.78,496,3,0.0,29.0,90,1.0590000000000002,,21.0,75,3.1889999999999996,0,225,22,,0,0,1,0,1,0,0,0,0.05300000000000016,0.04962546816479415,4.0,0.13793103448275862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SpecialtyIPA:BlackIPA
2196,Simple Stout,9.5,5.02,26.4,1.05,1.011,37.04,1395,3,0.0,6.5,60,1.073,0.5,19.0,35,,0,164,16,,0,0,0,1,0,0,1,0,0.039000000000000146,0.03714285714285728,-3.0,-0.46153846153846156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IrishStout
2197,Robin's tripel threat,18.92705892,8.71,52.59,1.0859999999999999,1.02,5.71,501,3,0.0,27.59565190536,90,1.0590000000000002,0.35,21.11111111111111,82,1.5,0,286,28,,0,0,1,1,1,0,0,0,0.06599999999999984,0.060773480662983284,8.66859298536,0.31412894375857336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BelgianTripel
2198,Pumpkin Ale,20.819764812,4.95,18.36,1.054,1.016,18.44,774,3,0.0,30.283294272,60,1.037,0.75,,70,1.25,0,179,20,,0,0,1,1,1,0,0,0,0.038000000000000034,0.0360531309297913,9.46352946,0.3125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AutumnSeasonalBeer
2199,AIPA,25.0,6.86,49.76,1.065,1.012,13.39,133,3,0.0,32.0,60,1.05,,19.0,75,3.0,0,213,19,,0,0,1,0,1,0,0,0,0.052999999999999936,0.04976525821596239,7.0,0.21875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
2200,Experimental Heff,46.0,5.36,17.06,1.053,1.012,5.37,474,3,0.0,49.9,60,1.0490000000000002,0.5,18.0,65,2.5,0,175,17,,0,0,1,1,1,0,0,0,0.040999999999999925,0.03893637226970553,3.8999999999999986,0.07815631262525047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Weissbier
2202,Raspberry cider,3.785411784,6.76,0.0,1.064,1.012,7.91,2311,3,0.0,3.785411784,60,1.064,,,70,,0,211,19,,0,0,0,0,0,1,0,0,0.052000000000000046,0.04887218045112786,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CommonCider
2203,Spiced cider,3.785411784,6.43,0.0,1.06,1.011,7.91,803,3,0.0,3.785411784,60,1.06,,,70,,0,196,17,,0,0,0,0,0,1,0,0,0.049000000000000155,0.046226415094339765,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CommonCider
2204,Oatmeal stout r2,37.85411784,7.42,51.41,1.078,1.022,41.72,391,3,0.0,49.210353192,60,1.06,1.25,20.0,72,1.25,0,261,29,,0,0,1,1,1,0,0,0,0.05600000000000005,0.05194805194805199,11.356235351999999,0.23076923076923075,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OatmealStout
2205,My Pisgah Pale Ale,41.639529624,5.75,34.13,1.061,1.0170000000000001,8.18,1108,3,0.0,58.673882651999996,60,1.043,0.35,20.555555555555557,67,,0,203,22,,0,0,0,1,0,1,0,0,0.04399999999999982,0.041470311027332535,17.034353027999998,0.29032258064516125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
2206,KBS Clone,18.92705892,10.59,50.96,1.1079999999999999,1.0270000000000001,47.45,839,3,0.0,11.356235351999999,90,1.179,,21.11111111111111,35,,0,362,37,,0,0,0,0,0,0,1,0,0.08099999999999974,0.073104693140794,-7.570823568000002,-0.6666666666666669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,RussianImperialStout
2207,Fuller's London Porter Clone BYO,20.819764812,5.01,31.71,1.055,1.0170000000000001,33.18,7478,3,0.0,27.917411906999998,60,1.041,,,80,1.5,0,184,21,,0,0,1,0,1,0,0,0,0.03799999999999981,0.03601895734597139,7.097647094999999,0.2542372881355932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BrownPorter
2208,Smash BIAB Pale 2 row / Amarillo,9.46352946,5.9,22.73,1.056,1.011,3.59,1459,3,0.0,11.356235351999999,45,1.046,0.35,18.333333333333332,75,,0,184,17,,0,0,0,1,0,1,0,0,0.04500000000000015,0.042613636363636506,1.8927058919999986,0.16666666666666657,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
2209,North of the Pines Pale Ale,15.141647136,8.49,99.65,1.079,1.014,9.56,605,3,0.0,18.92705892,60,1.063,,,65,,0,260,23,,0,0,0,0,0,0,0,1,0.06499999999999995,0.06024096385542164,3.785411784000001,0.20000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DoubleIPA
2210,Northern Brewer Nut Brown Ale,18.92705892,4.48,21.64,1.044,1.01,17.08,2198,3,0.0,13.248941244,60,1.063,,21.11111111111111,35,,0,145,14,,0,0,0,0,0,0,1,0,0.03400000000000003,0.032567049808429144,-5.678117676000001,-0.42857142857142866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanAmberAle
2211,Umereno pivo,12.0,4.91,36.79,1.046,1.008,5.55,408,3,0.0,16.0,60,1.034,0.75,20.0,55,,0,149,13,,0,0,0,1,0,1,0,0,0.038000000000000034,0.03632887189292546,4.0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
2212,Bob dbl ipa,49.210353192,6.71,79.87,1.067,1.016,7.45,68,3,0.0,56.78117676,60,1.058,0.75,20.0,70,1.3,0,222,22,,1,0,1,1,1,0,0,0,0.050999999999999934,0.04779756326148073,7.570823568000002,0.13333333333333336,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ImperialIPA
2213,Igloo Whitbread Nut Brown Ale,41.639529624,4.92,28.75,1.053,1.015,17.02,1184,3,0.0,49.210353192,60,1.044,0.75,18.88888888888889,70,1.25,0,176,19,,0,0,1,1,1,0,0,0,0.038000000000000034,0.036087369420702786,7.570823568000002,0.15384615384615388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BritishBrownAle
2214,Pecan Pie Porter,18.92705892,7.15,35.07,1.069,1.015,36.75,1845,3,4.0,9.46352946,60,1.139,,,35,,1,227,22,,0,0,0,0,0,0,1,0,0.05400000000000005,0.0505144995322732,-9.46352946,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPorter
2215,Irish Cream Stout,18.92705892,5.79,38.52,1.062,1.018,44.73,2735,3,0.0,20.819764812,60,1.056,0.35,20.0,70,,0,206,23,5.56,0,1,0,1,1,0,0,0,0.04400000000000004,0.04143126177024486,1.8927058919999986,0.09090909090909084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SweetStout
2216,Ballast Point Vanilla Porter,20.819764812,9.56,72.45,1.092,1.0190000000000001,41.03,714,3,0.0,29.564066033039996,120,1.065,,18.88888888888889,70,1.25,0,305,28,,0,0,1,0,1,0,0,0,0.07299999999999995,0.0668498168498168,8.744301221039997,0.2957746478873239,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,RobustPorter
2217,Fat Tire,22.712470703999998,5.14,27.13,1.053,1.014,9.26,932,3,0.0,26.497882488,60,1.045,0.5,18.88888888888889,83,1.5,0,175,19,,0,0,1,1,1,0,0,0,0.038999999999999924,0.037037037037036966,3.785411784000001,0.1428571428571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanAmberAle
2218,Süsi,35.0,6.9,52.32,1.064,1.011,46.48,848,3,0.0,42.5,60,1.053,0.5,20.0,60,2.6,0,210,18,,1,0,1,1,1,0,0,0,0.05300000000000016,0.04981203007518811,7.5,0.17647058823529413,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanStout
2219,Bengal Lancer IPA,10.0,5.27,50.05,1.054308872170478,1.0141449705283452,8.41,1700,3,0.0,15.0,60,1.0363134159898528,0.35,18.0,75,,0,180,19,,0,0,0,1,0,1,0,0,0.040163901642132904,0.038095004891164894,5.0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EnglishIPA
2220,Bock,7.570823568,7.55,23.37,1.0759999999999998,1.0190000000000001,17.15,749,3,0.0,6.624470622,60,1.028,1.75,12.777777777777779,60,,0,252,26,,0,0,0,1,0,0,0,1,0.05699999999999972,0.052973977695167034,-0.9463529460000002,-0.1428571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Doppelbock
2221,Milk Chocolate Stout,20.819764812,7.08,45.62,1.082,1.028,50.0,1556,3,5.0,28.39058838,60,1.06,,21.11111111111111,75,,1,277,34,,0,0,0,0,0,1,0,0,0.05400000000000005,0.04990757855822555,7.570823568000002,0.2666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SweetStout
2222,British Golden Ale,20.819764812,4.98,22.29,1.05,1.012,4.28,6554,3,0.0,28.69342132272,60,1.036,0.35,22.22222222222222,75,1.25,0,165,17,,0,0,1,1,1,0,0,0,0.038000000000000034,0.036190476190476224,7.87365651072,0.2744063324538259,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BritishGoldenAle
2223,chocolate peanut butter Porter,37.85411784,6.94,11.07,1.079,1.026,35.98,6120,3,0.0,45.424941407999995,60,1.0659999999999998,1.25,20.0,83,1.5,0,266,32,,0,0,1,1,1,0,0,0,0.052999999999999936,0.049119555143651475,7.5708235679999945,0.16666666666666657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPorter
2224,Emmet the Bitter,20.819764812,5.04,40.11,1.051,1.013,13.22,502,3,0.0,28.39058838,60,1.038,,18.88888888888889,70,,0,168,18,,0,0,0,0,0,1,0,0,0.038000000000000034,0.03615604186489062,7.570823568000002,0.2666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StrongBitter
2225,First European Lager,41.639529624,4.82,48.82,1.045,1.008,3.21,836,3,0.0,43.532235516,60,1.043,,,65,1.5,0,147,13,,0,0,1,0,1,0,0,0,0.03699999999999992,0.03540669856459323,1.8927058920000022,0.043478260869565265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GermanHellesExportbier
2226,Oktoberfest Lager,20.819764812,4.74,19.7,1.053,1.0170000000000001,15.82,1933,3,4.0,26.497882488,60,1.042,1.5,12.222222222222221,66,1.5,1,177,21,,0,0,1,1,1,0,0,0,0.03599999999999981,0.03418803418803401,5.678117675999999,0.21428571428571427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Märzen
2227,Sam Smith Oatmeal Stout Clone,18.92705892,5.34,39.24,1.058,1.0170000000000001,35.12,1323,3,0.0,26.497882488,60,1.041,,17.77777777777778,65,,0,193,22,,0,0,0,0,0,1,0,0,0.040999999999999925,0.03875236294896023,7.570823567999998,0.28571428571428564,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OatmealStout
2228,Missing Lynx Lager,37.85411784,4.62,23.03,1.046,1.01,4.1,669,3,0.0,47.3176473,70,1.036,0.35,15.555555555555555,76,1.25,0,150,15,,0,0,1,1,1,0,0,0,0.03600000000000003,0.03441682600382412,9.463529459999997,0.19999999999999993,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Kölsch
2229,Belgian Golden Strong Ale,18.92705892,8.54,44.56,1.0859999999999999,1.021,3.31,478,3,0.0,15.141647136,90,1.107,,20.0,35,,0,287,29,,0,0,0,0,0,0,1,0,0.06499999999999995,0.05985267034990788,-3.785411784000001,-0.25000000000000006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BelgianGoldenStrongAle
2230,Sharps Golden Citrus Ale,46.0,4.74,60.37,1.047,1.011,5.17,1009,3,0.0,58.0,60,1.037,0.75,18.0,75,3.0,0,155,15,,0,0,1,1,1,0,0,0,0.03600000000000003,0.03438395415472783,12.0,0.20689655172413793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EnglishIPA
2231,Dry Humped APA,18.92705892,5.0,29.03,1.0490000000000002,1.011,5.12,1024,3,4.0,28.39058838,60,1.033,,20.0,75,,1,162,16,,0,0,0,0,0,1,0,0,0.038000000000000256,0.036224976167779074,9.46352946,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
2232,SMASH IPA,16.0,5.6,40.37,1.055,1.013,6.12,473,3,0.0,14.0,60,1.063,0.35,21.0,70,,0,182,18,,0,0,0,1,0,1,0,0,0.04200000000000004,0.0398104265402844,-2.0,-0.14285714285714285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EnglishIPA
2233,Smoked Red Ale,16.5,6.2,39.96,1.0590000000000002,1.012,24.08,787,3,0.0,25.5,60,1.035,,16.0,61,,0,194,18,,0,0,0,0,0,1,0,0,0.04700000000000015,0.0443814919735601,9.0,0.35294117647058826,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,IrishRedAle
2234,Ode to Sleep - Coffee Cream Ale,22.712470703999998,6.75,54.68,1.063,1.011,7.44,3819,3,0.0,26.497882488,60,1.054,0.35,21.11111111111111,81,1.33,0,206,18,,0,0,1,1,1,0,0,0,0.052000000000000046,0.04891815616180625,3.785411784000001,0.1428571428571429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CreamAle
2235,White Girl Wasted,17.034353027999998,8.8,55.72,1.082,1.015,50.0,733,3,0.0,20.819764812,60,1.067,0.75,20.0,75,,0,271,24,,0,0,0,1,1,0,0,0,0.06700000000000017,0.06192236598890958,3.785411784000001,0.18181818181818185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AutumnSeasonalBeer
2236,MooseFactory IPA take 3,68.13741211199999,6.57,82.91,1.062,1.012,8.45,488,3,0.0,71.922823896,60,1.0590000000000002,,,75,1.5,0,204,19,,0,0,1,0,1,0,0,0,0.050000000000000044,0.047080979284369155,3.7854117840000043,0.05263157894736848,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
2237,Amber/Honey Ale,43.532235516,5.61,24.47,1.055,1.013,11.86,3011,3,5.0,51.103059084,60,1.047,1.25,21.11111111111111,80,1.25,1,182,18,,1,0,1,1,1,0,0,0,0.04200000000000004,0.0398104265402844,7.570823568000002,0.14814814814814817,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanAmberAle
2238,Hard Root Beer,20.819764812,7.55,0.0,1.08,1.0270000000000001,16.14,1405,3,0.0,11.356235351999999,15,1.147,,20.0,35,,0,269,33,,0,0,0,0,0,0,1,0,0.052999999999999936,0.04907407407407401,-9.46352946,-0.8333333333333335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SweetMead
2239,Coffee stout (small batch),9.0,6.37,23.75,1.0605865142446278,1.0120065198037758,35.57,684,3,0.0,11.0,60,1.0496405046861232,0.5,20.0,70,,0,199,18,,0,0,0,1,0,1,0,0,0.04857999444085204,0.04580483891542949,2.0,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SweetStout
2240,Summer Shandy,41.639529624,8.39,13.77,1.084,1.02,5.39,1218,3,0.0,49.210353192,90,1.071,,17.77777777777778,55,,0,279,28,,0,0,0,0,1,0,0,0,0.06400000000000006,0.059040590405904106,7.570823568000002,0.15384615384615388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Weizen/Weissbier
2241,Brad's Barrel Beer,41.639529624,7.36,26.83,1.067,1.011,5.75,611,3,0.0,51.103059084,60,1.048,,20.0,72,1.25,0,220,19,,0,0,1,0,1,0,0,0,0.05600000000000005,0.0524835988753515,9.463529460000004,0.18518518518518526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BelgianGoldenStrongAle
2242,Mirror Pond Clone,20.819764812,6.11,46.04,1.064,1.0170000000000001,9.09,1951,3,0.0,30.283294272,90,1.044,,18.333333333333332,70,1.5,0,213,23,,0,0,1,0,1,0,0,0,0.04699999999999993,0.044172932330827,9.46352946,0.3125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
2243,Imperial Brown Ale,18.92705892,7.65,33.09,1.078,1.02,25.74,3428,3,0.0,28.39058838,90,1.052,1.0,,60,1.5,0,260,27,,0,0,1,1,1,0,0,0,0.05800000000000005,0.053803339517625275,9.46352946,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanBrownAle
2244,Deschutes Fresh Squeezed IPA,45.424941407999995,7.04,82.21,1.068,1.015,10.73,2056,3,5.0,52.995764976,75,1.058,0.5,18.88888888888889,70,1.5,1,225,22,,0,0,1,1,1,0,0,0,0.05300000000000016,0.04962546816479415,7.570823568000002,0.1428571428571429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
2245,Brown Eyed Girl,3.785411784,5.06,22.15,1.048,1.0090000000000001,35.73,689,3,0.0,4.73176473,60,1.038,,17.77777777777778,35,,0,157,14,,0,0,0,0,0,0,1,0,0.038999999999999924,0.03721374045801519,0.9463529460000002,0.20000000000000004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanBrownAle
2246,Liberty Clone,20.819764812,5.14,82.07,1.052,1.012,6.68,469,3,0.0,24.605176596,90,1.044,,,70,1.33,0,172,17,,0,0,1,0,1,0,0,0,0.040000000000000036,0.03802281368821296,3.785411784000001,0.15384615384615388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaliforniaCommonBeer
2247,Little Christmas,25.0,7.15,28.87,1.0659999999999998,1.014,17.09,418,3,0.0,28.5,90,1.058,,20.0,70,,0,217,21,,0,0,0,0,1,0,0,0,0.051999999999999824,0.04878048780487789,3.5,0.12280701754385964,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BritishStrongAle
2248,Mosaic/Amarillo IPA,18.92705892,6.58,67.29,1.063,1.013,6.15,2127,3,0.0,23.091011882399997,60,1.051,,,65,1.5,0,207,19,,0,0,1,0,1,0,0,0,0.050000000000000044,0.047036688617121396,4.163952962399996,0.18032786885245888,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
2249,Bourbon Vanilla Imperial Porter,18.92705892,8.28,49.58,1.09,1.0270000000000001,45.53,792,3,0.0,25.551529542,90,1.067,1.0,19.444444444444443,72,1.25,0,303,34,,1,0,1,1,1,0,0,0,0.06299999999999994,0.05779816513761463,6.6244706220000005,0.25925925925925924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SpecialtyWood-AgedBeer
2250,Sams,15.0,5.42,65.97,1.052,1.01,6.63,484,3,0.0,7.0,60,1.111,0.35,22.0,35,,0,171,16,,0,0,0,1,0,0,1,0,0.04200000000000004,0.03992395437262361,-8.0,-1.1428571428571428,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
2251,Screaming viking pale ale,22.712470703999998,5.91,89.35,1.054,1.0090000000000001,8.7,1197,3,4.0,30.283294272,60,1.041,,,75,,1,176,15,,0,0,0,0,0,1,0,0,0.04499999999999993,0.04269449715370012,7.570823568000002,0.25000000000000006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
2252,One hope Pale Ale,5.0,5.91,44.38,1.06,1.015,12.89,522,3,0.0,8.0,60,1.037,0.35,15.0,70,,0,198,20,,0,0,0,1,0,1,0,0,0.04500000000000015,0.04245283018867939,3.0,0.375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
2253,Smooth Like Calrissian Stout- Screw Up,18.92705892,4.87,28.16,1.055,1.018,46.69,381,3,0.0,28.39058838,60,1.037,0.35,18.333333333333332,55,1.5,0,184,22,5.55,0,1,1,1,1,0,0,0,0.03699999999999992,0.03507109004739329,9.46352946,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SweetStout
2254,Sip of Sunshine Clone,22.712470703999998,8.46,111.52,1.079,1.015,8.26,7340,3,5.0,26.497882488,60,1.068,,17.77777777777778,72,,1,260,23,,0,0,0,0,1,0,0,0,0.06400000000000006,0.05931417979610756,3.785411784000001,0.1428571428571429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
2255,Double chocoat milk stout,25.0,6.04,18.4,1.055,1.0090000000000001,44.57,1940,3,0.0,30.0,90,1.046,1.0,,70,,0,180,15,,0,0,0,1,1,0,0,0,0.04599999999999982,0.04360189573459699,5.0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,OatmealStout
2256,Red IPA,62.459294436,5.85,39.46,1.058,1.013,13.17,590,3,0.0,79.49364746399999,60,1.045,0.35,19.444444444444443,65,1.5,0,191,19,,0,0,1,1,1,0,0,0,0.04500000000000015,0.04253308128544438,17.03435302799999,0.2142857142857142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaliforniaCommonBeer
2257,aaron's red rye pale,24.605176596,4.79,27.2,1.051,1.015,11.82,471,3,0.0,30.283294272,60,1.042,,,70,,0,169,19,,0,0,0,0,1,0,0,0,0.03600000000000003,0.03425309229305427,5.678117675999999,0.18749999999999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CaliforniaCommonBeer
2259,Trillium Fort Point Pale Ale,20.819764812,6.53,38.5,1.062,1.012,4.24,3979,3,0.0,24.605176596,60,1.0070000000000001,0.5,17.22222222222222,35,,0,204,19,,0,0,0,1,0,0,1,0,0.050000000000000044,0.047080979284369155,3.785411784000001,0.15384615384615388,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
2260,Night Owl (Clone),20.819764812,6.62,31.08,1.072,1.021,14.8,2898,3,0.0,28.39058838,60,1.053,,20.555555555555557,75,1.25,0,240,27,,0,0,1,0,1,0,0,0,0.051000000000000156,0.047574626865671786,7.570823568000002,0.2666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Spice,Herb,orVegetableBeer"
2261,Game 7,39.746823731999996,7.0,23.75,1.071,1.018,12.33,586,3,0.0,47.3176473,60,1.06,0.35,17.77777777777778,70,,0,236,25,,0,0,0,1,1,0,0,0,0.052999999999999936,0.049486461251167076,7.570823568000002,0.16000000000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanAmberAle
2262,Hardwood Cider,7.570823568,6.02,0.0,1.061,1.015,10.18,663,3,0.0,18.92705892,0,1.024,1.0,22.22222222222222,35,,0,202,21,,0,0,0,1,0,0,1,0,0.04600000000000004,0.04335532516493878,11.356235352,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CommonCider
2263,Stout,50.0,4.19,39.35,1.042571710258526,1.0106603567000783,38.06,497,3,0.0,53.0,60,1.0396170436142707,0.75,21.0,72,4.88,0,140,15,,0,0,1,1,1,0,0,0,0.03191135355844765,0.030608305639268318,3.0,0.05660377358490566,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DryStout
2265,Bullocky Pale Ale,18.92705892,5.48,38.16,1.052,1.01,8.22,1302,3,0.0,23.4695530608,60,1.042,0.5,18.88888888888889,70,,0,171,16,5.97,0,1,0,1,0,1,0,0,0.04200000000000004,0.03992395437262361,4.542494140799999,0.19354838709677416,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
2266,Robust Porter,30.0,5.19,25.07,1.054,1.015,29.51,972,3,4.0,28.4,60,1.057,1.0,22.0,65,2.5,1,179,20,,0,0,1,1,1,0,0,0,0.039000000000000146,0.03700189753320697,-1.6000000000000014,-0.056338028169014134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,RobustPorter
2267,Robbie ESB,11.0,5.45,42.39,1.05,1.0090000000000001,10.4,466,3,0.0,7.0,70,1.079,,18.0,70,3.0,0,163,14,,0,0,1,0,1,0,0,0,0.040999999999999925,0.03904761904761898,-4.0,-0.5714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ExtraSpecial/StrongBitter(ESB)
